#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,total_subscribers,total_views,total_videos
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,33900000,11589109361,1914
83,Real Stories @UCu4XcDBdnZkV6-5z2f16M0g,5.5M,-,??????? ????????,?????????,1.7M,,????????? ?????,10200000,4990991812,5613
84,More Emily @UCO66lK14MYiXlu0A6pQ4ouA,5.4M,-,??????? ????????,,1.6M,,????????? ?????,8290000,4875298817,57849
85,GRM Daily @UCqTwKvjbTENZDGbz2si47ag,5.3M,-,??????? ????????,,1.6M,,????????? ?????,5660000,1745536936,826
86,Joe Weller @UCLk9wddjT0F-HILLRFXodtg,5.3M,1.90%,??????? ????????,,1.6M,,????????? ?????,5590000,1100319460,859
87,WildBrain Kids @UCbmWOFTbZoDLWqG1rvFnJ0g,5.2M,-,??????? ????????,?????????,1.6M,,????????? ?????,4940000,582854087,872
88,Sky News @UCoMdktPbSTixAyNGwb-UYkQ,5.2M,-,??????? ????????,,1.5M,,????????? ?????,7620000,385570599,3855
89,Jarvis @UCvxfEIG3PHpgM0TMJJ_SH-w,5M,0.80%,??????? ????????,,1.5M,,????????? ?????,4680000,1317973708,510
90,Thoughty2 @UCRlICXvO4XR4HMeEB9JjDlA,5M,-,??????? ????????,,1.5M,,????????? ?????,8150000,2274711181,9029
91,TheDadLab @thedadlab,5M,-,??????? ????????,,1.5M,,????????? ?????,5440000,1181785973,570
92,Behzinga @UCHhfSXoDG6gSgpOvLH4wrRw,4.9M,-,??????? ????????,,1.5M,,????????? ?????,5120000,881311184,310
93,BBC Learning English @UCHaHD477h-FeBbVh9Sh7syA,4.8M,-,??????? ????????,,1.4M,,????????? ?????,4700000,874489771,2030
94,Max and Katy @UCvZwcK22QTUaM18KE7mHeNw,4.8M,-,??????? ????????,,1.4M,,????????? ?????,4520000,1287396238,877
95,Man City @UCkzCjdRMrW2vXLx8mvPVLdQ,4.8M,-,??????? ????????,,1.4M,,????????? ?????,4560000,551818999,1015
96,Wisp @UC0h07r_UgTD0Tc-Dn5XLX3g,4.7M,1.10%,??????? ????????,,1.4M,,????????? ?????,,,
97,WillNE @UCaFUrR3oSxOl5Y9y6tvLTEg,4.7M,2.40%,??????? ????????,,1.4M,,????????? ?????,,,
98,Zerkaa @UChntGq8THlUokhc1tT-M2wA,4.7M,2.30%,??????? ????????,,1.4M,,????????? ?????,,,
99,Ben Phillips @UChoQQRDf-zU1h6_YjKkWvdw,4.6M,-,??????? ????????,,1.4M,,????????? ?????,,,
100,Roxxsaurus @UCBKFH7bU2ebvO68FtuGjyyw,4.5M,-,??????? ????????,,1.4M,,????????? ?????,,,
